Name,Platform,Year,Genre,Publisher
Call of Duty: Modern Warfare 3,PC,2011,Shooter,Activision
Star Ocean: Till The End of Time,PS2,2003,Role-Playing,Ubisoft
Toy Story 2: Buzz Lightyear to the Rescue!,PS,1998,Platform,Activision
Ace Combat 5: The Unsung War,PS2,2004,Simulation,Sony Computer Entertainment Europe
Kanshuu Nippon Joushikiryoku Kentei Kyoukai: Imasara Hito ni wa Kikenai Otona no Joushikiryoku Training DS,DS,2006,Misc,Nintendo
The Crew,PS4,2014,Racing,Ubisoft
Personal Trainer: Math,DS,2007,Puzzle,Nintendo
Kirby's Return to Dreamland,Wii,2011,Platform,Nintendo
NBA 2K15,XOne,2014,Sports,Take-Two Interactive
Sid Meier's Civilization V,PC,2010,Strategy,Take-Two Interactive
Call of Duty Black Ops: Declassified,PSV,2012,Action,Activision
Yoshi's Cookie,GB,1992,Puzzle,Nintendo
Metroid Fusion,GBA,2002,Action,Nintendo
Shaun White Snowboarding: Road Trip,Wii,2008,Sports,Ubisoft
Knack,PS4,2013,Platform,Sony Computer Entertainment Europe
Star Wars: Battlefront II,XB,2005,Shooter,Activision
Tony Hawk's Pro Skater 3,PS,2001,Sports,Activision
StarCraft II: Heart of the Swarm,PC,2013,Strategy,Activision
PGR: Project Gotham Racing 2,XB,2003,Racing,Microsoft Game Studios
Max Payne 3,X360,2012,Shooter,Take-Two Interactive
Mario Party 6,GC,2004,Misc,Nintendo
Super Scope 6,SNES,1991,Shooter,Nintendo
Kirby & the Amazing Mirror,GBA,2004,Platform,Nintendo
Prince of Persia: Warrior Within,PS2,2004,Action,Ubisoft
Kinectimals,X360,2010,Simulation,Microsoft Game Studios
Until Dawn,PS4,2015,Adventure,Sony Computer Entertainment Europe
Viva Pinata,X360,2006,Simulation,Microsoft Game Studios
Pikmin,GC,2001,Strategy,Nintendo
Call of Duty: Black Ops,PC,0,Shooter,Activision
NBA 2K15,X360,2014,Sports,Take-Two Interactive
Tony Hawk's American Wasteland (Old all region sales),PS2,2005,Sports,Activision
Mario Hoops 3 on 3,DS,2006,Sports,Nintendo
Kirby Air Ride,GC,2003,Racing,Nintendo
Pokemon Battle Revolution,Wii,2006,Role-Playing,Nintendo
Gears of War: Judgment,X360,2013,Shooter,Microsoft Game Studios
Baseball,GB,1989,Sports,Nintendo
Super Mario Strikers,GC,2005,Sports,Nintendo
Far Cry 4,XOne,2014,Shooter,Ubisoft
Moshi Monsters: Moshling Zoo,DS,2011,Misc,Activision
Dollar Dash,PS2,2005,Action,Take-Two Interactive
Far Cry 2,X360,2008,Action,Ubisoft
River Raid,2600,1981,Shooter,Activision
Diablo,PC,1996,Role-Playing,Activision
The Legend of Zelda: Twilight Princess,GC,2006,Action,Nintendo
SoulCalibur IV,X360,2008,Fighting,Ubisoft
Carnival Games: Mini Golf,Wii,2008,Sports,Take-Two Interactive
Guitar Hero: On Tour Decades,DS,2008,Misc,Activision
Guitar Hero 5,Wii,2009,Misc,Activision
Pokemon Mystery Dungeon: Explorers of Sky,DS,2009,Role-Playing,Nintendo
Mario Party 7,GC,2005,Misc,Nintendo
Smuggler's Run,PS2,2000,Racing,Take-Two Interactive
Donkey Kong Classics,NES,1988,Platform,Nintendo
Pokemon Pinball: Ruby & Sapphire,GBA,2003,Misc,Nintendo
Mafia II,X360,2010,Action,Take-Two Interactive
Tom Clancy's Rainbow Six 3,XB,2003,Shooter,Ubisoft
BioShock 2,PS3,2010,Shooter,Take-Two Interactive
Spider-Man 2: Enter: Electro,PS,2001,Action,Activision
Watch Dogs,XOne,2014,Action,Ubisoft
Mario Party 10,WiiU,2015,Misc,Nintendo
Dead Rising 3,XOne,2013,Action,Microsoft Game Studios
Fire Emblem Fates,3DS,2015,Role-Playing,Nintendo
Warcraft III: The Frozen Throne,PC,2003,Strategy,Activision
Tom Clancy's Ghost Recon Advanced Warfighter,X360,2006,Shooter,Ubisoft
Call of Duty: Black Ops II,PC,2012,Shooter,Activision
Call of Duty: Modern Warfare: Reflex Edition,Wii,2009,Shooter,Activision
Mario Golf: Toadstool Tour,GC,2003,Sports,Nintendo
Donkey Kong Country: Tropical Freeze,WiiU,2014,Platform,Nintendo
F1 Race,NES,1984,Racing,Nintendo
Mafia II,PS3,2010,Action,Take-Two Interactive
Call of Duty 3,PS3,2006,Shooter,Activision
Ice Climber,NES,1985,Platform,Nintendo
Final Fantasy: Crystal Chronicles,GC,2003,Role-Playing,Nintendo
Banjo-Tooie,N64,2000,Platform,Nintendo
007: Quantum of Solace,X360,2008,Action,Activision
New Play Control! Mario Power Tennis,Wii,2009,Sports,Nintendo
Nintendo World Cup,NES,1990,Sports,Nintendo
Wario Land II,GB,1997,Platform,Nintendo
Major League Baseball 2K5,PS2,2005,Sports,Take-Two Interactive
Tom Clancy's Splinter Cell: Pandora Tomorrow,XB,2004,Action,Ubisoft
Imagine: Master Chef,DS,2007,Simulation,Ubisoft
Assassin's Creed III: Liberation,PSV,2012,Action,Ubisoft
SoulCalibur IV,PS3,2008,Fighting,Ubisoft
Mario Golf,N64,1999,Action,Nintendo
Tom Clancy's Ghost Recon: Future Soldier,X360,2012,Shooter,Ubisoft
Mario Superstar Baseball,GC,2005,Sports,Nintendo
LEGO City Undercover,3DS,2013,Platform,Nintendo
Diablo III,X360,2013,Role-Playing,Activision
BioShock,PS3,2008,Shooter,Take-Two Interactive
Red Dead Revolver,PS2,2004,Shooter,Take-Two Interactive
Anno 2070,PC,2011,Strategy,Ubisoft
4 Nin uchi Mahjong,NES,1984,Misc,Nintendo
Tony Hawk's American Wasteland (Weekly american sales),PS2,2005,Sports,Activision
My Word Coach,DS,2007,Misc,Ubisoft
Kirby Super Star,SNES,1996,Platform,Nintendo
Far Cry 4,PS3,2014,Shooter,Ubisoft
Kinect Joy Ride,X360,2010,Racing,Microsoft Game Studios
Rayman Raving Rabbids,Wii,2006,Misc,Ubisoft
LEGO Indiana Jones 2: The Adventure Continues,Wii,2009,Action,Activision
Classic NES Series: Super Mario Bros.,GBA,2004,Platform,Nintendo
Cabela's Big Game Hunter,PS2,2002,Sports,Activision
The Legend of Zelda: The Minish Cap,GBA,2004,Action,Nintendo
Super Metroid,SNES,1994,Action,Nintendo
Inazuma Eleven 2,DS,2009,Role-Playing,Nintendo
Metroid: Other M,Wii,2010,Action,Nintendo
Call of Duty: Black Ops,Wii,2010,Shooter,Activision
Spider-Man: The Movie,XB,2002,Action,Activision
Far Cry 2,PS3,2008,Action,Ubisoft
Bakugan: Battle Brawlers,DS,2009,Action,Activision
True Crime: Streets of LA,XB,2003,Action,Activision
Paper Mario,N64,2000,Role-Playing,Nintendo
Bravely Default: Flying Fairy,3DS,2012,Role-Playing,Nintendo
Duke Nukem: Time to Kill,PS,1998,Shooter,Take-Two Interactive
Assassin's Creed: Rogue,PS3,2014,Action,Ubisoft
A Collection of Activision Classic Games for the Atari 2600,PS,1998,Misc,Activision
Forza Horizon 2,XOne,2014,Racing,Microsoft Game Studios
Star Wars Knights of the Old Republic II: The Sith Lords,XB,2004,Role-Playing,Activision
Pocket Monsters Stadium,N64,1998,Strategy,Nintendo
NBA 2K15,PS3,2014,Sports,Take-Two Interactive
Tom Clancy's Ghost Recon 2,XB,2004,Shooter,Ubisoft
Yoshi's New Island,3DS,2014,Platform,Nintendo
Ryse: Son of Rome,XOne,2013,Action,Microsoft Game Studios
Grand Theft Auto: Chinatown Wars,DS,2009,Action,Take-Two Interactive
Alan Wake,X360,2010,Action,Microsoft Game Studios
Tom Clancy's Rainbow Six: Vegas 2,PS3,2008,Shooter,Ubisoft
Mario & Luigi: Partners in Time,DS,2005,Role-Playing,Nintendo
Doom 3,XB,2005,Shooter,Activision
Donkey Kong Jungle Beat,GC,2004,Platform,Nintendo
Max Payne 2: The Fall of Max Payne,PS2,2003,Shooter,Take-Two Interactive
Your Shape: Fitness Evolved,X360,2010,Sports,Ubisoft
Skylanders SWAP Force,X360,2013,Platform,Activision
NBA 2K14,PS4,2013,Sports,Take-Two Interactive
Spider-Man: The Movie,GBA,2002,Action,Activision
Tony Hawk's Pro Skater,GB,2000,Sports,Activision
Metroid Prime 2: Echoes,GC,2004,Shooter,Nintendo
Petz Wild Animals: Dolphinz,DS,2007,Simulation,Ubisoft
Pokemon Ranger: Guardian Signs,DS,2010,Role-Playing,Nintendo
World of Warcraft: Wrath of the Lich King,PC,2008,Role-Playing,Activision
Gyromite,NES,1985,Puzzle,Nintendo
Skylanders Giants,X360,2012,Action,Activision
[Prototype],X360,2009,Action,Activision
Madagascar,PS2,2005,Platform,Activision
Pitfall II: Lost Caverns,2600,1983,Platform,Activision
Gold's Gym: Cardio Workout,Wii,2008,Sports,Ubisoft
Yoshi's Woolly World,WiiU,2015,Platform,Nintendo
Tom Clancy's Rainbow Six: Siege,XOne,2015,Shooter,Ubisoft
Guitar Hero: Aerosmith,Wii,2008,Misc,Activision
Mystery Case Files: MillionHeir,DS,2008,Adventure,Nintendo
Midnight Club 3: DUB Edition (America weekly sales),PS2,2005,Racing,Take-Two Interactive
Watch Dogs,X360,2014,Action,Ubisoft
Imagine: Wedding Designer,DS,2008,Simulation,Ubisoft
Yakuman,GB,1989,Misc,Nintendo
Assassin's Creed Syndicate,XOne,2015,Action,Ubisoft
Manhunt,PS2,2003,Action,Take-Two Interactive
Kid Icarus: Uprising,3DS,2012,Action,Nintendo
Pokemon Mystery Dungeon: Gates to Infinity,3DS,2012,Role-Playing,Nintendo
NBA 2K9,X360,2008,Sports,Take-Two Interactive
Tony Hawk's Underground,XB,2003,Sports,Activision
Hogan's Alley,NES,1984,Shooter,Nintendo
Rockstar Games presents Table Tennis,Wii,2007,Sports,Take-Two Interactive
Kung Fu Panda,DS,2008,Action,Activision
Hyrule Warriors,WiiU,2014,Action,Nintendo
Tom Clancy's Rainbow Six: Vegas,PS3,2007,Shooter,Ubisoft
Pokemon XD: Gale of Darkness,GC,2005,Role-Playing,Nintendo
Tom Clancy's Splinter Cell: Pandora Tomorrow,PS2,2004,Action,Ubisoft
Transformers: Autobots / Decepticons,DS,2007,Action,Activision
Diddy Kong Racing DS,DS,2007,Racing,Nintendo
[Prototype],PS3,2009,Action,Activision
Assassin's Creed: Bloodlines,PSP,2009,Action,Ubisoft
Tetris 2 (All region sales),GB,1992,Puzzle,Nintendo
Star Wars Episode III: Revenge of the Sith,XB,2005,Action,Activision
Ninja Gaiden,XB,2004,Action,Microsoft Game Studios
Guitar Hero: Aerosmith,X360,2008,Misc,Activision
Kirby Tilt 'n' Tumble,GB,2000,Puzzle,Nintendo
Vigilante 8,PS,1998,Racing,Activision
Donkey Kong Country 2,GBA,2004,Platform,Nintendo
"WarioWare, Inc.: Mega MicroGame$",GBA,2003,Puzzle,Nintendo
Mario Power Tennis,GC,2004,Sports,Nintendo
Game & Watch Gallery 2,GB,1997,Misc,Nintendo
Game & Watch Gallery 3,GB,1999,Misc,Nintendo
Golden Sun: The Lost Age,GBA,2002,Role-Playing,Nintendo
Max Payne,XB,2001,Shooter,Take-Two Interactive
Fuzion Frenzy,XB,2001,Misc,Microsoft Game Studios
Call of Duty: Finest Hour,XB,2004,Shooter,Activision
LEGO Indiana Jones 2: The Adventure Continues,DS,2009,Action,Activision
Pikmin 2,GC,2004,Strategy,Nintendo
Just Dance 2016,Wii,2015,Misc,Ubisoft
WWE 2K16,PS4,2015,Sports,Take-Two Interactive
SolarStriker,GB,1989,Shooter,Nintendo
Mario vs. Donkey Kong 2: March of the Minis,DS,2006,Puzzle,Nintendo
PokéPark Wii: Pikachu's Adventure,Wii,2009,Adventure,Nintendo
WWE 2K14,PS3,2013,Sports,Take-Two Interactive
Captain Toad: Treasure Tracker,WiiU,2014,Puzzle,Nintendo
Kobe Bryant in NBA Courtside,N64,1998,Sports,Nintendo
The Dukes of Hazzard: Racing for Home,PS,1999,Racing,Ubisoft
Spider-Man: The Movie,GC,2002,Action,Activision
Final Fantasy I & II: Dawn of Souls,GBA,2004,Role-Playing,Nintendo
NBA 2K17,PS4,2016,Sports,Take-Two Interactive
Pokemon Super Mystery Dungeon,3DS,2015,Role-Playing,Nintendo
Just Dance 4,X360,2012,Misc,Ubisoft
Mario Tennis,GB,2000,Sports,Nintendo
Tony Hawk's Pro Skater 2,GBA,2001,Sports,Activision
Your Shape: Fitness Evolved 2012,X360,2011,Sports,Ubisoft
Gun,PS2,2005,Shooter,Activision
Wario Land: Shake It!,Wii,2008,Platform,Nintendo
Destiny: The Taken King,XOne,2015,Shooter,Activision
Mario vs. Donkey Kong,GBA,2004,Puzzle,Nintendo
007: Quantum of Solace,PS3,2008,Action,Activision
Midnight Club 3: DUB Edition Remix,PS2,2006,Racing,Take-Two Interactive
Tom Clancy's Ghost Recon: Jungle Storm,PS2,2004,Shooter,Ubisoft
Jet Force Gemini,N64,1999,Shooter,Nintendo
Rocksmith,PS3,2011,Misc,Ubisoft
Kaboom!,2600,1980,Misc,Activision
Red Dead Redemption: Undead Nightmare,PS3,2010,Action,Take-Two Interactive
Call of Duty 4: Modern Warfare,PC,2007,Shooter,Activision
Qix,GB,1990,Puzzle,Nintendo
Donkey Konga,GC,2003,Misc,Nintendo
Pokemon Rumble Blast,3DS,2011,Action,Nintendo
Action Bass,PS,2000,Action,Take-Two Interactive
Tenchu: Wrath of Heaven,PS2,2003,Action,Activision
Rabbids Go Home,Wii,2009,Platform,Ubisoft
Pilotwings,SNES,1990,Simulation,Nintendo
Super R.C. Pro-Am,GB,1991,Racing,Nintendo
Royal Palace of White Sword and The City of Gentiles,PS2,2005,Role-Playing,Take-Two Interactive
Guitar Hero 5,X360,2009,Misc,Activision
MechAssault,XB,2002,Simulation,Microsoft Game Studios
Fantasy Life,3DS,2012,Role-Playing,Nintendo
Tom Clancy's Rainbow Six 3: Black Arrow,XB,2004,Shooter,Ubisoft
WWE 2K15,PS4,2014,Sports,Take-Two Interactive
Donkey Kong,NES,1983,Platform,Nintendo
WWE 2K14,X360,2013,Sports,Take-Two Interactive
Pokémon Mystery Dungeon: Red Rescue Team (US weekly sales),GBA,2005,Role-Playing,Nintendo
Supercar Street Challenge,PS2,2001,Racing,Activision
Pilotwings 64,N64,1996,Simulation,Nintendo
Crackdown 2,X360,2010,Shooter,Microsoft Game Studios
Rocksmith,X360,2011,Misc,Ubisoft
Call Of Duty 2: Big Red One,XB,2005,Shooter,Activision
Yoshi's Cookie,NES,1992,Puzzle,Nintendo
Guitar Hero 5,PS2,2009,Misc,Activision
Spider-Man 2,XB,2004,Action,Activision
Counter-Strike,XB,2003,Shooter,Microsoft Game Studios
"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",PS2,2007,Action,Activision
Sunset Overdrive,XOne,2014,Shooter,Microsoft Game Studios
Tom Clancy's Splinter Cell: Chaos Theory,XB,2005,Action,Ubisoft
Donkey Kong Jr.,NES,1983,Platform,Nintendo
Pikmin 3,WiiU,2013,Strategy,Nintendo
Lumines: Puzzle Fusion,PSP,2004,Puzzle,Ubisoft
Guitar Hero 5,PS3,2009,Misc,Activision
Megamania,2600,1981,Shooter,Activision
The Legend of Zelda: Tri Force Heroes,3DS,2015,Action,Nintendo
Petz Dogz 2,DS,2007,Simulation,Ubisoft
F-Zero X,N64,1998,Racing,Nintendo
Popeye,NES,1983,Platform,Nintendo
Tales of Symphonia,GC,2003,Role-Playing,Nintendo
Untold Legends: Brotherhood of the Blade,PSP,2005,Role-Playing,Activision
Imagine: Babysitters,DS,2008,Simulation,Ubisoft
Skylanders Giants,PS3,2012,Action,Activision
Endless Ocean,Wii,2007,Adventure,Nintendo
Prince of Persia,PS3,2008,Action,Ubisoft
Grand Theft Auto V,PC,2015,Action,Take-Two Interactive
Grand Theft Auto: Chinatown Wars,PSP,2009,Action,Take-Two Interactive
Tom Clancy's Ghost Recon 2,PS2,2004,Shooter,Ubisoft
LEGO City Undercover,WiiU,2013,Platform,Nintendo
Disney's Lilo & Stitch,GBA,2002,Platform,Ubisoft
Star Fox: Assault,GC,2005,Shooter,Nintendo
Call of Duty 3,PS2,2006,Shooter,Activision
Imagine: Fashion Designer New York,DS,2008,Simulation,Ubisoft
Red Dead Redemption: Undead Nightmare,X360,2010,Action,Take-Two Interactive
Bully: Scholarship Edition,X360,2008,Action,Take-Two Interactive
Super Princess Peach,DS,2005,Platform,Nintendo
Skylanders SWAP Force,PS3,2013,Platform,Activision
Call of Duty 4: Modern Warfare,DS,2007,Shooter,Activision
LEGO Indiana Jones: The Original Adventures,PS3,2008,Action,Activision
DJ Hero,X360,2009,Misc,Activision
Dora the Explorer: Dora Saves the Mermaids,DS,2007,Platform,Take-Two Interactive
Spider-Man 2,GBA,2004,Action,Activision
Assassin's Creed: Rogue,X360,2014,Action,Ubisoft
Skylanders: Trap Team,Wii,2014,Action,Activision
Dance on Broadway,Wii,2010,Misc,Ubisoft
Imagine: Animal Doctor,DS,2007,Simulation,Ubisoft
Forza Motorsport,XB,2005,Racing,Microsoft Game Studios
Pokemon Conquest,DS,2012,Role-Playing,Nintendo
Naruto: Clash of Ninja 2,GC,2003,Fighting,Nintendo
F-Zero: Maximum Velocity,GBA,2001,Racing,Nintendo
LEGO Indiana Jones 2: The Adventure Continues,X360,2009,Action,Activision
Kirby: Mass Attack,DS,2011,Platform,Nintendo
ZhuZhu Pets,DS,2010,Simulation,Activision
Tom Clancy's Ghost Recon Advanced Warfighter 2,PS3,2007,Shooter,Ubisoft
Rayman Origins,PS3,2011,Platform,Ubisoft
Donkey Kong Land III,GB,0,Platform,Nintendo
Tom Clancy's Ghost Recon Advanced Warfighter 2,X360,2007,Shooter,Ubisoft
ZombiU,WiiU,2012,Action,Ubisoft
Shrek 2,GC,2004,Platform,Activision
Petz: Catz 2,DS,2007,Simulation,Ubisoft
Bayonetta 2,WiiU,2014,Action,Nintendo
Prince of Persia,X360,2008,Action,Ubisoft
Guitar Hero: Warriors of Rock,Wii,2010,Misc,Activision
Rayman Legends,PS4,2014,Platform,Ubisoft
Excitebike 64,N64,2000,Racing,Nintendo
NES Open Tournament Golf,NES,1991,Sports,Nintendo
Game & Watch Gallery,GB,1997,Misc,Nintendo
Haze,PS3,2008,Shooter,Ubisoft
Killzone: Mercenary,PSV,2013,Shooter,Sony Computer Entertainment Europe
Rocksmith 2014,PS3,2013,Misc,Ubisoft
Puzzler Collection,DS,2008,Puzzle,Ubisoft
NFL Fever 2002,XB,2000,Sports,Microsoft Game Studios
Tom Clancy's Splinter Cell: Blacklist,X360,2013,Action,Ubisoft
Band Hero,Wii,2009,Misc,Activision
Midnight Club: LA Remix,PSP,2008,Racing,Take-Two Interactive
Guitar Hero: Aerosmith,PS3,2008,Misc,Activision
Far Cry 3,PC,2012,Shooter,Ubisoft
Xenoblade Chronicles,Wii,2010,Role-Playing,Nintendo
Just Dance 2014,X360,2013,Misc,Ubisoft
Mario Party Advance,GBA,2005,Misc,Nintendo
Tetris 2,NES,1993,Puzzle,Nintendo
South Park: The Stick of Truth,PS3,2014,Role-Playing,Ubisoft
Driver: San Francisco,PS3,2011,Racing,Ubisoft
Far Cry 4,X360,2014,Shooter,Ubisoft
Grand Theft Auto: San Andreas,PC,2005,Action,Take-Two Interactive
Tom Clancy's Splinter Cell: Blacklist,PS3,2013,Action,Ubisoft
NBA 2K10,X360,2009,Sports,Take-Two Interactive
Fire Emblem,GBA,2003,Strategy,Nintendo
Skylanders: Spyro's Adventure,X360,2011,Action,Activision
Grand Theft Auto: Vice City Stories,PS2,2007,Action,Take-Two Interactive
NBA 2K16,X360,2015,Sports,Take-Two Interactive
My Weight Loss Coach,DS,2008,Sports,Ubisoft
Tom Clancy's Ghost Recon: Future Soldier,PS3,2012,Shooter,Ubisoft
PilotWings Resort,3DS,2011,Simulation,Nintendo
Tom Clancy's Splinter Cell: Chaos Theory,PS2,2005,Action,Ubisoft
South Park: The Stick of Truth,X360,2014,Role-Playing,Ubisoft
Skylanders: Spyro's Adventure,PS3,2011,Action,Activision
Guitar Hero: Metallica,Wii,2009,Misc,Activision
Evolve,PS4,2015,Shooter,Take-Two Interactive
Tony Hawk: RIDE,Wii,2009,Sports,Activision
Wii Play: Motion,Wii,2011,Misc,Nintendo
Star Fox 64 3D,3DS,2011,Shooter,Nintendo
Rocksmith 2014,X360,2013,Misc,Ubisoft
Assassin's Creed III,PC,2012,Action,Ubisoft
Mario Tennis Open,3DS,2012,Sports,Nintendo
The Legend of Zelda: Twilight Princess HD,WiiU,2016,Action,Nintendo
Bully,PS2,2006,Action,Take-Two Interactive
Prince of Persia: The Sands of Time,XB,2003,Action,Ubisoft
Nickelodeon Fit,Wii,2010,Sports,Take-Two Interactive
Tony Hawk's Pro Skater 4,XB,2002,Sports,Activision
Borderlands 2,PC,2012,Shooter,Take-Two Interactive
Toy Story 2: Buzz Lightyear to the Rescue!,N64,1999,Platform,Activision
Skylanders: Trap Team,X360,2014,Action,Activision
Brothers in Arms: Hell's Highway,PS3,2008,Shooter,Ubisoft
SnoCross Championship Racing,PS,1999,Racing,Ubisoft
Blue Dragon,X360,2006,Role-Playing,Microsoft Game Studios
Wipeout: In The Zone,X360,2011,Misc,Activision
Kung Fu Panda,Wii,2008,Action,Activision
Balloon Fight,NES,1985,Platform,Nintendo
Assassin's Creed,PC,2008,Adventure,Ubisoft
Disney Magical World,3DS,2013,Adventure,Nintendo
Lost Odyssey,X360,2007,Role-Playing,Microsoft Game Studios
Street Hoops,PS2,2002,Sports,Activision
Avatar: The Game,PS3,2009,Action,Ubisoft
Tom Clancy's EndWar,X360,2008,Strategy,Ubisoft
LEGO Indiana Jones 2: The Adventure Continues,PS3,2009,Action,Activision
Minecraft: Story Mode,X360,2015,Adventure,Mojang
Marvel: Ultimate Alliance 2,X360,2009,Role-Playing,Activision
Call of Duty: World at War,DS,2008,Shooter,Activision
DJ Hero,PS3,2009,Misc,Activision
Spider-Man 3,PS2,2007,Platform,Activision
Fossil Fighters,DS,2008,Role-Playing,Nintendo
X-Men Legends,XB,2004,Role-Playing,Activision
Madagascar,GBA,2005,Platform,Activision
Call of Juarez: Bound in Blood,PS3,2009,Shooter,Ubisoft
Classic NES Series: The Legend of Zelda,GBA,2004,Adventure,Nintendo
Fire Emblem: The Sacred Stones,GBA,2004,Strategy,Nintendo
Pokemon Card GB2: Here Comes Team GR!,GB,2001,Strategy,Nintendo
CSI: Hard Evidence,Wii,2008,Adventure,Ubisoft
Monster 4X4: World Circuit,Wii,2006,Racing,Ubisoft
Call of Duty: Modern Warfare 2,PC,2009,Shooter,Activision
Wii Fit U,WiiU,2013,Sports,Nintendo
Call of Duty: Modern Warfare 3,Wii,2011,Shooter,Activision
Grand Theft Auto IV,PC,2008,Action,Take-Two Interactive
Michael Jackson: The Experience,X360,2011,Misc,Ubisoft
NBA 2K6,PS2,2005,Action,Take-Two Interactive
Endless Ocean: Blue World,Wii,2009,Simulation,Nintendo
Crimson Skies: High Road to Revenge,XB,2003,Simulation,Microsoft Game Studios
NBA 2K14,XOne,2013,Sports,Take-Two Interactive
Gold's Gym: Dance Workout,Wii,2010,Sports,Ubisoft
Tom Clancy's Ghost Recon: Island Thunder,XB,2003,Shooter,Ubisoft
Tony Hawk's Project 8,PS2,2006,Sports,Activision
Brothers in Arms: Hell's Highway,X360,2008,Shooter,Ubisoft
Guitar Hero: Warriors of Rock,X360,2010,Misc,Activision
The Legendary Starfy,DS,2008,Platform,Nintendo
Forza Horizon 2,X360,2014,Racing,Microsoft Game Studios
NBA 2K8,X360,2007,Sports,Take-Two Interactive
Far Cry: Primal,XOne,2016,Action,Ubisoft
Blazing Angels: Squadrons of WWII,Wii,2007,Simulation,Ubisoft
WWE 2K15,PS3,2014,Sports,Take-Two Interactive
Overwatch,XOne,2016,Shooter,Activision
Kirby: Planet Robobot,3DS,2016,Action,Nintendo
Spider-Man 2,GC,2004,Action,Activision
Golden Sun: Dark Dawn,DS,2010,Role-Playing,Nintendo
NBA 2K10,PS3,2009,Sports,Take-Two Interactive
Xenoblade Chronicles X,WiiU,2015,Role-Playing,Nintendo
Petz Dogz Fashion,DS,2008,Simulation,Ubisoft
Duke Nukem Forever,X360,2011,Shooter,Take-Two Interactive
Borderlands: The Handsome Collection,PS4,2015,Shooter,Take-Two Interactive
Metroid: Zero Mission,GBA,2004,Adventure,Nintendo
Battle of Giants: Dinosaurs,DS,2008,Strategy,Ubisoft
Borderlands 2,PSV,2014,Shooter,Take-Two Interactive
Brute Force,XB,2003,Shooter,Microsoft Game Studios
Dance Central 3,X360,2012,Misc,Microsoft Game Studios
The Price is Right,Wii,2008,Misc,Ubisoft
Sid Meier's Civilization Revolution,X360,2008,Strategy,Take-Two Interactive
The Amazing Spider-Man (Console Version),PS3,2012,Action,Activision
Tony Hawk's Underground 2 Remix,PSP,2005,Sports,Activision
Tony Hawk's Pro Skater 3,GC,2001,Sports,Activision
Marvel: Ultimate Alliance,PS2,2006,Role-Playing,Activision
DJ Hero 2,X360,2010,Misc,Activision
Clu Clu Land,NES,1984,Puzzle,Nintendo
Killer Instinct Gold,N64,1996,Fighting,Nintendo
Amped: Freestyle Snowboarding,XB,2001,Sports,Microsoft Game Studios
Guitar Hero: Warriors of Rock,PS3,2010,Misc,Activision
Imagine: Rock Star,DS,2008,Simulation,Ubisoft
Shaun White Snowboarding,X360,0,Sports,Ubisoft
The Legend of Zelda: Four Swords Adventures,GC,2004,Action,Nintendo
Guitar Hero Live,PS4,2015,Misc,Activision
Tom Clancy's Rainbow Six 3,PS2,2004,Shooter,Ubisoft
EarthBound,SNES,1994,Role-Playing,Nintendo
Guitar Hero: Metallica,X360,2009,Misc,Activision
ABBA: You Can Dance,Wii,2011,Misc,Ubisoft
[Prototype 2],X360,2012,Action,Activision
Goldeneye 007: Reloaded,PS3,2011,Shooter,Activision
NBA 2K16,PS3,2015,Sports,Take-Two Interactive
Prince of Persia: Warrior Within,XB,2004,Action,Ubisoft
Rayman Raving Rabbids 2,DS,2007,Misc,Ubisoft
Band Hero,X360,2009,Misc,Activision
Mario & Sonic at the Sochi 2014 Olympic Winter Games,WiiU,2013,Sports,Nintendo
Capcom's Soccer Shootout,SNES,1993,Sports,Nintendo
Rayman Origins,X360,2011,Platform,Ubisoft
Guitar Hero: Aerosmith,PS2,2008,Misc,Activision
Harvest Moon: A Wonderful Life,GC,2003,Role-Playing,Ubisoft
Motocross Mania,PS,2001,Racing,Take-Two Interactive
Armored Core 2,PS2,2000,Simulation,Ubisoft
Major League Baseball Featuring Ken Griffey Jr,N64,1998,Sports,Nintendo
Too Human,X360,2008,Role-Playing,Microsoft Game Studios
Sid Meier's Civilization Revolution,PS3,2008,Strategy,Take-Two Interactive
Personal Trainer: Walking,DS,2008,Sports,Nintendo
PokePark 2: Wonders Beyond,Wii,2011,Action,Nintendo
Professor Layton and the Azran Legacy,3DS,2013,Puzzle,Nintendo
Tom Clancy's Splinter Cell: Double Agent,X360,2006,Action,Ubisoft
Lips,X360,2008,Misc,Microsoft Game Studios
Metroid Prime Hunters,DS,2006,Shooter,Nintendo
Puzzler World,DS,2009,Puzzle,Ubisoft
Tetris Party Deluxe,DS,2010,Puzzle,Nintendo
NBA 2K7,PS2,2006,Sports,Take-Two Interactive
Banjo-Kazooie: Nuts & Bolts,X360,2008,Platform,Microsoft Game Studios
Avatar: The Game,X360,2009,Action,Ubisoft
DJ Hero,Wii,2009,Misc,Activision
Perfect Dark Zero,X360,2005,Shooter,Microsoft Game Studios
Duke Nukem Forever,PS3,2011,Shooter,Take-Two Interactive
Boxing,2600,1980,Fighting,Activision
Pokemon Dash,DS,2004,Racing,Nintendo
Donkey Kong Country 3,GBA,2005,Platform,Nintendo
Raving Rabbids: Travel in Time,Wii,2010,Adventure,Ubisoft
Tony Hawk's Pro Skater 2,N64,2001,Sports,Activision
Assassin's Creed: Revelations,PC,2011,Action,Ubisoft
